Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
70,Brasil,Indonésia,2009,0,0
71,Brasil,Irã,2009,0,0
72,Brasil,Iraque,2009,0,0
73,Brasil,Irlanda,2009,0,0
74,Brasil,Itália,2009,1817,5251
75,Brasil,Jamaica,2009,0,0
76,Brasil,Japão,2009,217974,283436
77,Brasil,Jordânia,2009,0,0
78,Brasil,Letônia,2009,0,0
79,Brasil,Líbano,2009,0,0
80,Brasil,Libéria,2009,0,0
81,Brasil,Luxemburgo,2009,7845,42124
82,Brasil,Malásia,2009,0,0
83,Brasil,Malta,2009,0,0
84,Brasil,"Marshall, Ilhas",2009,0,0
85,Brasil,Mauritânia,2009,0,0
86,Brasil,México,2009,0,0
87,Brasil,Moçambique,2009,0,0
88,Brasil,Montenegro,2009,0,0
89,Brasil,Namibia,2009,0,0
90,Brasil,Nicaragua,2009,24,24
91,Brasil,Nigéria,2009,41,115
92,Brasil,Noruega,2009,0,0
93,Brasil,Nova Caledônia,2009,0,0
94,Brasil,Nova Zelândia,2009,0,0
95,Brasil,Omã,2009,0,0
96,Brasil,Países Baixos,2009,171654,136991
97,Brasil,Panamá,2009,24,30
98,Brasil,Paraguai,2009,486927,392087
99,Brasil,Peru,2009,0,0
100,Brasil,Polônia,2009,6982,35797
101,Brasil,Porto Rico,2009,0,0
102,Brasil,Portugal,2009,141000,168923
103,Brasil,Quênia,2009,0,0
104,Brasil,Reino Unido,2009,30092,68788
105,Brasil,República Dominicana,2009,0,0
106,Brasil,Rússia,2009,21912914,5732280
107,Brasil,São Tomé e Príncipe,2009,0,0
108,Brasil,São Vicente e Granadinas,2009,0,0
109,Brasil,Senegal,2009,0,0
110,Brasil,Serra Leoa,2009,0,0
111,Brasil,Singapura,2009,0,0
112,Brasil,Suazilândia,2009,0,0
113,Brasil,Suécia,2009,28334,52826
114,Brasil,Suíça,2009,27653,81319
115,Brasil,Suriname,2009,3830,12918
116,Brasil,Tailândia,2009,0,0
117,Brasil,Taiwan (FORMOSA),2009,0,0
