Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$,Population Qt
30,Brasil,Chipre,2010,0,0,889.3744999999999
31,Brasil,Cingapura,2010,1533,5504,4200.052500000001
32,Brasil,"Cocos (Keeling), Ilhas",2010,0,0,
33,Brasil,Colômbia,2010,0,0,30069.3935
34,Brasil,Comores,2010,0,0,334.46500000000003
35,Brasil,Congo,2010,0,0,2363.7684999999997
36,Brasil,"Coreia, Republica Sul",2010,0,0,38683.41750000002
37,Brasil,Costa do Marfim,2010,0,0,10448.781499999996
38,Brasil,Costa Rica,2010,0,0,3232.9030000000002
39,Brasil,Croácia,2010,0,0,3553.187999999999
40,Brasil,Cuba,2010,0,0,8849.358500000004
41,Brasil,Curaçao,2010,0,0,116.64749999999998
42,Brasil,Dinamarca,2010,7034,69161,4336.322500000001
43,Brasil,Dominica,2010,0,0,48.693500000000014
44,Brasil,El Salvador,2010,0,0,3738.3230000000012
45,Brasil,Emirados Arabes Unidos,2010,1035,3206,6945.111000000002
46,Brasil,Equador,2010,0,0,9422.218
47,Brasil,"Eslovaca, Republica",2010,0,0,4357.693500000004
48,Brasil,Espanha,2010,0,0,38286.036
49,Brasil,Estados Unidos,2010,228968,478630,236301.81
50,Brasil,Estônia,2010,15848,40778,1086.8154999999997
51,Brasil,Filipinas,2010,0,0,56085.38950000002
52,Brasil,Finlândia,2010,0,0,4276.906999999997
53,Brasil,França,2010,3614,18904,48787.8955
54,Brasil,Gana,2010,0,0,13946.697499999987
55,Brasil,Gibraltar,2010,0,0,24.41499999999999
56,Brasil,Granada,2010,0,0,
57,Brasil,Grécia,2010,0,0,9099.471
58,Brasil,Guatemala,2010,0,0,7829.055000000004
59,Brasil,Guiana,2010,783,3654,
60,Brasil,Guiana Francesa,2010,0,0,
61,Brasil,Guine Bissau,2010,0,0,782.4570000000001
62,Brasil,Guine Equatorial,2010,410,1015,602.6950000000002
63,Brasil,Haiti,2010,2700,3750,5640.582499999999
64,Brasil,Honduras,2010,0,0,4687.6545
65,Brasil,Hong Kong,2010,0,0,
66,Brasil,Hungria,2010,540,4103,8174.436500000001
67,Brasil,Ilha de Man,2010,0,0,
68,Brasil,Ilhas Virgens,2010,0,0,
69,Brasil,India,2010,0,0,782511.9955000002
70,Brasil,Indonésia,2010,0,0,
71,Brasil,Irã,2010,0,0,54420.0535
72,Brasil,Iraque,2010,0,0,16269.445499999994
73,Brasil,Irlanda,2010,3969,42795,3402.0300000000007
74,Brasil,Itália,2010,1458,4828,49670.996999999996
75,Brasil,Jamaica,2010,0,0,1828.871
76,Brasil,Japão,2010,112178,74628,107566.00399999999
77,Brasil,Jordânia,2010,0,0,3929.968499999999
78,Brasil,Letônia,2010,0,0,1735.4414999999992
79,Brasil,Líbano,2010,0,0,3433.4300000000007
80,Brasil,Libéria,2010,0,0,2035.2939999999999
81,Brasil,Luxemburgo,2010,7344,32549,
82,Brasil,Malásia,2010,0,0,19006.25000000001
83,Brasil,Malta,2010,0,0,341.2660000000002
84,Brasil,"Marshall, Ilhas",2010,0,0,29.223000000000006
85,Brasil,Mauritânia,2010,0,0,1707.8374999999999
86,Brasil,México,2010,0,0,72295.65199999999
87,Brasil,Moçambique,2010,0,0,
88,Brasil,Montenegro,2010,0,0,482.196
89,Brasil,Namibia,2010,0,0,1167.9535000000008
90,Brasil,Nicaragua,2010,0,0,3430.246500000001
91,Brasil,Nigéria,2010,0,0,79597.85199999994
92,Brasil,Noruega,2010,0,0,3777.848499999999
93,Brasil,Nova Caledônia,2010,0,0,180.41050000000004
94,Brasil,Nova Zelândia,2010,0,0,3251.297999999999
95,Brasil,Omã,2010,0,0,1951.5170000000003
96,Brasil,Países Baixos,2010,87368,302182,13108.120499999997
97,Brasil,Panamá,2010,0,0,2371.9855000000007
98,Brasil,Paraguai,2010,510989,449197,3486.6019999999994
99,Brasil,Peru,2010,0,0,18854.171499999997
100,Brasil,Polônia,2010,20464,95198,31298.222999999994
101,Brasil,Porto Rico,2010,0,0,2822.8394999999996
102,Brasil,Portugal,2010,4577,18970,8644.8425
103,Brasil,Quênia,2010,0,0,20799.0795
104,Brasil,Reino Unido,2010,123624,295690,49353.59099999999
105,Brasil,República Dominicana,2010,0,0,6176.088500000002
106,Brasil,Rússia,2010,0,0,116888.93699999998
