Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Ireland,IRL,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170,..
"Population, total",SP.POP.TOTL,Isle of Man,IMN,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519,..
"Population, total",SP.POP.TOTL,Israel,ISR,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,..
"Population, total",SP.POP.TOTL,Italy,ITA,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377,..
"Population, total",SP.POP.TOTL,Japan,JPN,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,..
"Population, total",SP.POP.TOTL,Jordan,JOR,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972,..
"Population, total",SP.POP.TOTL,Kenya,KEN,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24581509,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,..
